127.0.0.1 - - [04/Feb/2020:18:35:25 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:26 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 34821
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:26 +0100] "GET /essentials HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:26 +0100] "GET /essentials/ HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:26 +0100] "GET /essentials/components/angular-ui-tree/dist/angular-ui-tree.css?v=14.0.0 HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:26 +0100] "GET /essentials/components/chosen-js/chosen.jquery.js?v=14.0.0 HTTP/1.1" 200 47117
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:26 +0100] "GET /essentials/components/hippo-theme/dist/css/main.css?v=14.0.0 HTTP/1.1" 200 177095
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:26 +0100] "GET /essentials/components/jquery/dist/jquery.js?v=14.0.0 HTTP/1.1" 200 280364
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:26 +0100] "GET /essentials/components/angular/angular.js?v=14.0.0 HTTP/1.1" 200 1372032
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:26 +0100] "GET /essentials/components/angular-animate/angular-animate.js?v=14.0.0 HTTP/1.1" 200 156629
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/components/angular-aria/angular-aria.js?v=14.0.0 HTTP/1.1" 200 16522
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/components/angular-sanitize/angular-sanitize.js?v=14.0.0 HTTP/1.1" 200 34264
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/components/hippo-theme/dist/js/main.js?v=14.0.0 HTTP/1.1" 200 18992
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/components/angular-ui-router/release/angular-ui-router.js?v=14.0.0 HTTP/1.1" 200 492987
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/components/angular-ui-bootstrap/dist/ui-bootstrap-tpls.js?v=14.0.0 HTTP/1.1" 200 276562
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/js/lib/angular-ui-tree.js?v=14.0.0 HTTP/1.1" 200 37613
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/components/angular-chosen-localytics/dist/angular-chosen.js?v=14.0.0 HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/js/directives.js?v=14.0.0 HTTP/1.1" 200 12655
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/dashboard/api/directives.js?v=14.0.0 HTTP/1.1" 200 3462
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/js/app.js?v=14.0.0 HTTP/1.1" 200 14799
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/js/routes.js?v=14.0.0 HTTP/1.1" 200 6996
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/js/controllers.js?v=14.0.0 HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/dashboard/api/services.js?v=14.0.0 HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/js/loader.js HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/rest/plugins/modules HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/feature/documentWizardPlugin/documentWizardPlugin.js HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/tool/beanwriter/beanwriter.js HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/feature/contentBlocks/contentBlocks.js HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/feature/taxonomyPlugin/taxonomyPlugin.js HTTP/1.1" 200 5096
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:27 +0100] "GET /essentials/feature/blogPlugin/blogPlugin.js HTTP/1.1" 200 2717
